,FID,SHAPE,date,end_,id,latitude,longitude,start,title,total_atte,type,service_area,num_vehicles,av_ratio,dist_to_highway
0,1,"{'x': -13042312.189404054, 'y': 3857633.4358812296, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-08-08,14:00:00,49813,32.715738,-117.1610838,11:00:00,curbside bites food truck markets - downtown lunch,330,farmers,4516797.592125815,15931,0.020714330550499028,684.2661748022521
1,2,"{'x': -13042916.620843215, 'y': 3858589.669007341, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-08-08,13:00:00,50910,32.722965,-117.1665135,09:00:00,little italys wednesday farmers market,1280,farmers,3459449.7448627204,9725,0.13161953727506426,191.68799719821277
2,3,"{'x': -13052720.918015596, 'y': 3868787.072960929, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2019-12-31,19:00:00,51870,32.7999983,-117.254587,14:00:00,pacific beach tuesday farmers market,860,farmers,8995373.633749794,14633,0.0587712704161826,3384.51232589273
3,4,"{'x': -13052720.918015596, 'y': 3868787.072960929, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-08-07,19:00:00,50486,32.7999983,-117.254587,14:00:00,pacific beach tuesday farmers market,860,farmers,8995373.633749794,14633,0.0587712704161826,3384.51232589273
4,5,"{'x': -13042223.24513091, 'y': 3859704.750320469, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-08-05,15:00:00,50567,32.7313918,-117.1602848,10:00:00,sunday artisan market,3020,farmers,12767307.614785042,23833,0.12671505895187346,492.38345981723285
5,6,"{'x': -13041067.32580241, 'y': 3861974.5260695233, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-08-05,14:00:00,49932,32.7485423,-117.149901,09:00:00,2018 hillcrest farmers market (sundays),2400,farmers,7415300.031184129,15643,0.1534232564086173,534.8104904228812
6,7,"{'x': -13046076.791943701, 'y': 3862535.324132546, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2019-12-29,16:30:00,51714,32.7527792,-117.1949018,09:00:00,old town artisans market,600,farmers,7582233.092709851,3894,0.15408320493066255,268.2901361474861
7,8,"{'x': -13041067.32580241, 'y': 3861974.5260695233, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2019-12-29,14:00:00,52070,32.7485423,-117.149901,09:00:00,2019 hillcrest farmers market (sundays),4400,farmers,7415300.031184129,15643,0.281275970082465,534.8104904228812
8,9,"{'x': -13046076.791943701, 'y': 3862535.324132546, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-08-05,16:30:00,50384,32.7527792,-117.1949018,09:00:00,old town artisans market,1100,farmers,7582233.092709851,3894,0.2824858757062147,268.2901361474861
9,10,"{'x': -13046076.791943701, 'y': 3862535.324132546, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2019-12-28,16:30:00,51713,32.7527792,-117.1949018,09:00:00,old town artisans market,600,farmers,6696390.261357092,3739,0.16047071409467772,268.2901361474861
10,11,"{'x': -13046615.455827702, 'y': 3859428.9475074904, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2018-08-05,11:00:00,50880,32.7293076,-117.1997407,07:00:00,2018 mps superheroes 5k,275,athletic,7242116.040254763,4279,0.06426735218508997,2052.3048433760014
