"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","event_start","event_end","exp_attendance","exp_participants","event_host","event_url","event_address","latitude","longitude"
"Pacific Beach Tuesday Farmers' Market","51870","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-31 14:00:00","2019-12-31 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","52120","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-29 10:00:00","2019-12-29 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"Old Town Artisan's Market","51714","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-29 09:00:00","2019-12-29 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2019 Hillcrest Farmers' Market (Sundays)","52070","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-29 09:00:00","2019-12-29 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Old Town Artisan's Market","51713","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-28 09:00:00","2019-12-28 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","51818","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-12-28 09:00:00","2019-12-28 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"The Mercato Little Italy's Farmers' Market","51766","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-12-28 08:00:00","2019-12-28 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","51869","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-24 14:00:00","2019-12-24 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","52119","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-22 10:00:00","2019-12-22 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"Old Town Artisan's Market","51712","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-22 09:00:00","2019-12-22 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2019 Hillcrest Farmers' Market (Sundays)","52069","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-22 09:00:00","2019-12-22 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Hillcrest Car Show","51883","","FARMERS","Come and see classic cars displayed, talk to the owners, and get information on how to join the LGBT Classic Car Club. ","Normal Street between Harvey Milk Street and University Avenue ","2019-12-21 14:00:00","2019-12-21 18:00:00","250","20","Hillcrest Business Association","www.fabuloushillcrest.com","Normal & Harvey Milk Streets","32.7521124","-117.1481502"
"Dia del Cafe presents Alley Shutdown","52159","","FESTIVAL","There will be a variety of local guest speakers discussing different ways to promote and support local small businesses for beginners and experts. The event will in1clude exhibitors and entertainment. ","Alleyway bounded by Adams Avenue, Utah Street, Madison Avenue, Kansas Street","2019-12-21 10:00:00","2019-12-21 19:00:00","300","10","Dia del Cafe","","2873 Adams Avenue","32.762706699999995","-117.1319673"
"Ocean Beach Town Council Craft Fair","52395","","ATHLETIC","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays. Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right around the corner!","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2019-12-21 09:00:00","2019-12-21 16:00:00","","","Ocean Beach Town Council ","www.obtowncouncil.org","1900 Oceant Front Street","33.76421550000001","-118.16961869999999"
"City Heights Farmer's Market (Every Saturday)","51817","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-12-21 09:00:00","2019-12-21 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","51711","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-21 09:00:00","2019-12-21 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"The Mercato Little Italy's Farmers' Market","51765","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-12-21 08:00:00","2019-12-21 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"North Park Thursday Market","51553","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-12-19 15:00:00","2019-12-19 19:00:00","900","70","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.7474111","-117.1277087"
"Ocean Beach Certified Farmer's Market (Wednesdays)","51506","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop! ","Newport Avenue between Bacon and Cable Streets ","2019-12-18 16:00:00","2019-12-18 20:00:00","1,200","125","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Stre","33.7284523","-117.8328371"
"Curbside Bites Food Truck Markets - Downtown Lunch","51985","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streets. ","2019-12-18 11:00:00","2019-12-18 14:00:00","300","30","Curbside Bites ","www.curbsidebites.com","B Street & India Street","33.0477549","-117.2979035"
"Little Italy's Wednesday Farmers Market","51455","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes. Expected  ","Date Street between State Street and cul-de-sac west of Kettner Blvd.","2019-12-18 09:00:00","2019-12-18 14:00:00","1,200","80","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","51868","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-17 14:00:00","2019-12-17 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","52118","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-15 10:00:00","2019-12-15 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"2019 Hillcrest Farmers' Market (Sundays)","52068","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-15 09:00:00","2019-12-15 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Old Town Artisan's Market","51710","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-15 09:00:00","2019-12-15 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Ocean Beach Town Council Craft Fair","52394","","ATHLETIC","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays. Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right around the corner!","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2019-12-14 09:00:00","2019-12-14 16:00:00","","","Ocean Beach Town Council ","www.obtowncouncil.org","1900 Oceant Front Street","33.76421550000001","-118.16961869999999"
"Old Town Artisan's Market","51709","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-14 09:00:00","2019-12-14 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","51816","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-12-14 09:00:00","2019-12-14 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"The Mercato Little Italy's Farmers' Market","51764","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-12-14 08:00:00","2019-12-14 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"North Park Thursday Market","51552","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-12-12 15:00:00","2019-12-12 19:00:00","900","70","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.7474111","-117.1277087"
"Ocean Beach Certified Farmer's Market (Wednesdays)","51505","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop! ","Newport Avenue between Bacon and Cable Streets ","2019-12-11 16:00:00","2019-12-11 20:00:00","1,200","125","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Stre","33.7284523","-117.8328371"
"Curbside Bites Food Truck Markets - Downtown Lunch","51984","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streets. ","2019-12-11 11:00:00","2019-12-11 14:00:00","300","30","Curbside Bites ","www.curbsidebites.com","B Street & India Street","33.0477549","-117.2979035"
"Little Italy's Wednesday Farmers Market","51454","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes. Expected  ","Date Street between State Street and cul-de-sac west of Kettner Blvd.","2019-12-11 09:00:00","2019-12-11 14:00:00","1,200","80","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","51867","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-10 14:00:00","2019-12-10 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"62nd La Jolla Christmas Parade & Holiday Festival","52315","","PARADES","A wonderful Christmas parade lures people from all around to the sidewalks of La Jolla. You'll see floats, marching bands, community groups, drill teams, vintage vehicles, horses, and yes-a camel! Church bells peal with a fly-over. There is also a Holiday Festival and Tree Lighting Ceremony. ","Girard Ave./Kline St. - Girard Ave. - Prospect St. - Draper St./Prospect St. Festival: La Jolla Recreation Center at 615 Prospect St.  ","2019-12-08 10:30:00","2019-12-08 15:30:00","6,000","1,000","La Jolla Christmas Parade & Holiday Festival ","www.ljparade.com","615 Prospect Street","32.8433225","-117.2778663"
"Sunday Artisan Market","52117","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-08 10:00:00","2019-12-08 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"Old Town Artisan's Market","51708","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-08 09:00:00","2019-12-08 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2019 Hillcrest Farmers' Market (Sundays)","52067","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-08 09:00:00","2019-12-08 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"US Beach Soccer National Championship ","52432","","ATHLETIC","The US Beach Soccer National Championship takes place in Mission Beach. The amazing shoreline of Mission Beach will be called the hosts for the 2019 edition of the US Beach Soccer National Championship!  ","Mission Beach at 2597 Mission Boulevard @ North Jetty Road","2019-12-08 08:00:00","2019-12-08 17:00:00","","","US Beach Soccer National Championship ","","Mission Boulevard @ North Jetty Road","32.7598095","-117.2488872"
"City Heights Farmer's Market (Every Saturday)","51815","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-12-07 09:00:00","2019-12-07 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"Old Town Artisan's Market","51707","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-07 09:00:00","2019-12-07 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"Ocean Beach Town Council Craft Fair","52393","","ATHLETIC","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays. Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right around the corner!","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2019-12-07 09:00:00","2019-12-07 16:00:00","","","Ocean Beach Town Council ","www.obtowncouncil.org","1900 Oceant Front Street","33.76421550000001","-118.16961869999999"
"The Mercato Little Italy's Farmers' Market","51763","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-12-07 08:00:00","2019-12-07 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"US Beach Soccer National Championship ","52431","","ATHLETIC","The US Beach Soccer National Championship takes place in Mission Beach. The amazing shoreline of Mission Beach will be called the hosts for the 2019 edition of the US Beach Soccer National Championship!  ","Mission Beach at 2597 Mission Boulevard @ North Jetty Road","2019-12-07 08:00:00","2019-12-07 17:00:00","","","US Beach Soccer National Championship ","","Mission Boulevard @ North Jetty Road","32.7598095","-117.2488872"
"US Beach Soccer National Championship ","52433","","ATHLETIC","The US Beach Soccer National Championship takes place in Mission Beach. The amazing shoreline of Mission Beach will be called the hosts for the 2019 edition of the US Beach Soccer National Championship!  ","Mission Beach at 2597 Mission Boulevard @ North Jetty Road","2019-12-06 15:00:00","2019-12-06 17:00:00","","","US Beach Soccer National Championship ","","Mission Boulevard @ North Jetty Road","32.7598095","-117.2488872"
"North Park Thursday Market","51551","","FARMERS","This farmer's market in North Park offers locally grown vegetables, fruits, fresh flowers, eggs, artisan products, and craft vendors providing North Park residents and visitors with healthy foods in a family oriented community gathering place.","North Park Way between Granada Avenue and 30th Street ","2019-12-05 15:00:00","2019-12-05 19:00:00","900","70","North Park Main Street ","www.northparkmarket.com","North Park Way & Granada Avenue","32.7474111","-117.1277087"
"Ocean Beach Certified Farmer's Market (Wednesdays)","51504","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop! ","Newport Avenue between Bacon and Cable Streets ","2019-12-04 16:00:00","2019-12-04 20:00:00","1,200","125","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com","Newport Avenue & Bacon Stre","33.7284523","-117.8328371"
"Curbside Bites Food Truck Markets - Downtown Lunch","51983","","FARMERS","Every Wednesday, a caravan of food trucks are conveniently located in Little Italy to serve lunchtime meals. Each food truck has its own menu choices. Just pick out what it is that you like and it's quickly served. ","B Street between India & Columbia Streets. ","2019-12-04 11:00:00","2019-12-04 14:00:00","300","30","Curbside Bites ","www.curbsidebites.com","B Street & India Street","33.0477549","-117.2979035"
"Little Italy's Wednesday Farmers Market","51453","","FARMERS","The Little Italy's Wednesday Farmers Market is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The market also offers artisan foods and specialty items of all shapes and sizes. Expected  ","Date Street between State Street and cul-de-sac west of Kettner Blvd.","2019-12-04 09:00:00","2019-12-04 14:00:00","1,200","80","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
"Pacific Beach Tuesday Farmers' Market","51866","","FARMERS","This farmer's market offers locally grown vegetables, fruits, flowers, eggs plus artisan food and craft vendors, providing Pacific Beach residents and visitors healthy food in a family friendly gathering place. ","Bayard Street between Grand and Garnet Avenues ","2019-12-03 14:00:00","2019-12-03 19:00:00","800","60","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.7999983","-117.254587"
"Sunday Artisan Market","52116","","FARMERS","The Sunday Artisan Market provides space for local artisans, crafters, & retailers to display and sell their goods and services The market also provides a venue far local entertainers to perform and space for other community organizations to promote their activities.","5th Avenue between Market Street and J Street","2019-12-01 10:00:00","2019-12-01 15:00:00","","30","Gaslamp Quarter Association ","www.gaslamp.org","5th Avenue & Market Street ","",""
"Old Town Artisan's Market","51706","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-12-01 09:00:00","2019-12-01 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"2019 Hillcrest Farmers' Market (Sundays)","52066","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue, Harvey Milk between Normal and Cleveland Streets","2019-12-01 09:00:00","2019-12-01 14:00:00","4,000","400","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street ","32.748542300000004","-117.149901"
"Ocean Beach Town Council Craft Fair","52392","","ATHLETIC","Enjoy the OB Craft Fair put on by the OB Town Council each year leading up to the holidays. Shop from local craft vendors and enjoy the beautiful oceanfront view. The holidays are right around the corner!","Veteran's Plaza and Lawn Area at Newport Avenue and Abbott Street","2019-11-30 09:00:00","2019-11-30 16:00:00","","","Ocean Beach Town Council ","www.obtowncouncil.org","1900 Oceant Front Street","33.76421550000001","-118.16961869999999"
"Old Town Artisan's Market","51705","","FARMERS","A weekend open air market offering an array of interesting art, jewelry, pottery, clothing, gift items and more by local artists. ","Harney Street between San Diego Avenue and Congress Street ","2019-11-30 09:00:00","2019-11-30 16:30:00","500","100","Old Town San Diego Chamber of Commerce ","","Harney Street & San Diego Avenue","32.7527792","-117.1949018"
"City Heights Farmer's Market (Every Saturday)","51814","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue ","2019-11-30 09:00:00","2019-11-30 13:00:00","500","100","San Diego County Farm Bureau ","www.sdfarmbureau.org","Wightman & 43rd Streets","32.7477532","-117.0999832"
"The Mercato Little Italy's Farmers' Market","51762","","FARMERS","The Little Italy Mercato is a Certified Farmers' Market filled with fruits and vegetables, herbs, flowers, eggs, cheese, pastured chicken and meat from more than forty California farmers. The Mercato also offers artisan foods and specialty items of all shapes and sizes. ","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard ","2019-11-30 08:00:00","2019-11-30 14:00:00","2,500","400","Little Italy Association of San Diego ","www.littleitalymercato.com","Date & State Streets","",""
